0.387995,
0.0735882,
0.0959736,
0.106001,
0.0902063,
0.0399609,
0.0674426,
0.0930048,
0.0991589,
0.0734805,
0.0363126,
0.0556616,
0.068213,
0.0547084,
0.0432505,
0.048381,
0.0426992,
0.0365075,
0.0302848,
0.024999,
0.0343831,
0.027195,
0.0236052,
0.0202142,
0.0196561,
0.38779,
0.0793017,
0.109173,
0.12031,
0.0894643,
0.0337643,
0.0623317,
0.0877535,
0.096564,
0.0728044,
0.0317753,
0.0493551,
0.0589377,
0.0496694,
0.0451295,
0.0426481,
0.0346312,
0.029671,
0.0278512,
0.0280877,
0.0312755,
0.0212324,
0.0190689,
0.0189962,
0.021824,
0.327221,
0.0832588,
0.0966378,
0.0961051,
0.0779249,
0.0329298,
0.0523395,
0.0662183,
0.0722121,
0.0615025,
0.0314904,
0.042327,
0.0474089,
0.0401519,
0.0407019,
0.0415657,
0.0317422,
0.0252045,
0.0230597,
0.025439,
0.0308159,
0.0214318,
0.0167517,
0.0150266,
0.0193988,
0.301818,
0.0826287,
0.0927319,
0.0889505,
0.0679265,
0.0359906,
0.0577743,
0.0744628,
0.0762699,
0.0541064,
0.0311096,
0.0447743,
0.0524182,
0.0412895,
0.0320547,
0.0394475,
0.031242,
0.0256059,
0.0216131,
0.0186616,
0.0302318,
0.0204268,
0.0159185,
0.0137155,
0.0150501,
0.363195,
0.0128467,
0.0213193,
0.0258471,
0.0255175,
0.0118936,
0.020059,
0.0222531,
0.0241306,
0.0211487,
0.00842383,
0.0127872,
0.0139085,
0.0105306,
0.0114749,
0.00790089,
0.00554282,
0.00508303,
0.00513843,
0.0069781,
0.00758692,
0.00518652,
0.00474655,
0.00412113,
0.00697057,
0.403966,
0.00358929,
0.00921516,
0.0112871,
0.00892223,
0.000751843,
0.00970807,
0.0135492,
0.0186885,
0.0146926,
0,
0.0049757,
0.00723552,
0.00734144,
0.00904862,
0,
0,
0.00119523,
0.00323802,
0.00523989,
0.00437756,
0.00193187,
0.00203369,
0.0024869,
0.00367041,
0.386609,
0.00775236,
0.0167901,
0.0217765,
0.0164696,
0,
0,
0,
0.00856121,
0.0133456,
0.00125509,
0,
0,
0.00297943,
0.00942228,
0.00376787,
0.000244443,
0.000347752,
0.00271278,
0.00664586,
0.00724535,
0.00442869,
0.00317554,
0.00348319,
0.00617925,
0.419064,
0.0577839,
0.0884792,
0.0992103,
0.0781261,
0.0206179,
0.0385133,
0.055456,
0.0648551,
0.0526396,
0.0205877,
0.0283073,
0.0328511,
0.0293018,
0.0313007,
0.0289481,
0.0207918,
0.0170107,
0.0167181,
0.0200685,
0.0244039,
0.0164908,
0.0135035,
0.0130966,
0.018306,
